Timestamp,Customer_ID,Age Group,Gender,Education Level,Income Level,I prefer organic products due to their health benefits.,Organic products have better nutritional value than non-organic.,I believe organic products are healthier for my family.,I regularly purchase organic food for a healthier lifestyle.,I am willing to pay a premium price for organic products.,I actively seek out organic labels while shopping.,Buying organic products is a responsible choice.,Organic farming practices benefit the environment.,I believe organic farming is more sustainable.,Reducing chemical use in agriculture is important to me.,I avoid products that contain synthetic additives.,I am concerned about the negative impact of non-organic farming.,I check product certifications to ensure they are organic.,I am more likely to purchase organic food if it is easily available.,I would recommend organic products to friends and family.
03/13/2025 17:04:00,93,36-45 Years,Female,Higher Secondary (10+2),0 - 2  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 17:06:00,94,26-35 Years,Female,Higher Secondary (10+2),0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 17:08:00,95,46-55 Years,Female,Undergraduate,2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 17:10:00,96,46-55 Years,Female,Below Secondary (Below 10th),2 - 5  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 17:12:00,97,46-55 Years,Female,Higher Secondary (10+2),5 - 10  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 17:14:00,98,26-35 Years,Female,Undergraduate,5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 17:16:00,99,36-45 Years,Female,Undergraduate,2 - 5  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 17:18:00,100,26-35 Years,Male,Undergraduate,Above 10 Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 17:20:00,101,26-35 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 17:22:00,102,Above 55 Years,Female,Below Secondary (Below 10th),5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 17:24:00,103,Above 55 Years,Female,Undergraduate,5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 17:26:00,104,36-45 Years,Female,Higher Secondary (10+2),2 - 5  Lakhs,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 17:28:00,105,Above 55 Years,Female,Higher Secondary (10+2),2 - 5  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 17:30:00,106,46-55 Years,Female,Undergraduate,2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 17:32:00,107,Above 55 Years,Female,Undergraduate,5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 17:34:00,108,46-55 Years,Female,Below Secondary (Below 10th),0 - 2  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 17:36:00,109,36-45 Years,Female,Postgraduate & Above,0 - 2  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 17:38:00,110,26-35 Years,Male,Undergraduate,0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 17:40:00,111,26-35 Years,Female,Higher Secondary (10+2),0 - 2  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 17:42:00,112,Above 55 Years,Male,Higher Secondary (10+2),Above 10 Lakhs,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 17:44:00,113,46-55 Years,Female,Undergraduate,5 - 10  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 17:46:00,114, 18-25 Years,Female,Undergraduate,2 - 5  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 17:48:00,115, 18-25 Years,Male,Higher Secondary (10+2),0 - 2  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 17:50:00,116, 18-25 Years,Female,Higher Secondary (10+2),2 - 5  Lakhs,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 17:52:00,117,26-35 Years,Male,Below Secondary (Below 10th),2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 17:54:00,118,26-35 Years,Female,Below Secondary (Below 10th),0 - 2  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 17:56:00,119,46-55 Years,Female,Undergraduate,2 - 5  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 17:58:00,120,Above 55 Years,Male,Undergraduate,2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 18:00:00,121, 18-25 Years,Female,Undergraduate,5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 18:02:00,122,46-55 Years,Male,Below Secondary (Below 10th),5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 18:04:00,123,46-55 Years,Female,Higher Secondary (10+2),0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 18:06:00,124,Above 55 Years,Male,Higher Secondary (10+2),2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 18:08:00,125,46-55 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:10:00,126,Above 55 Years,Female,Undergraduate,2 - 5  Lakhs,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:12:00,127,36-45 Years,Female,Higher Secondary (10+2),Above 10 Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:14:00,128,Above 55 Years,Male,Undergraduate,5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 18:16:00,129, 18-25 Years,Female,Postgraduate & Above,0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 18:18:00,130, 18-25 Years,Female,Undergraduate,0 - 2  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:20:00,131,Above 55 Years,Female,Higher Secondary (10+2),5 - 10  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:22:00,132,36-45 Years,Male,Higher Secondary (10+2),0 - 2  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:24:00,133,36-45 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 18:26:00,134, 18-25 Years,Male,Higher Secondary (10+2),Above 10 Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 18:28:00,135,36-45 Years,Male,Secondary School (10th),5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:30:00,136,46-55 Years,Male,Undergraduate,2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 18:32:00,137,26-35 Years,Male,Postgraduate & Above,5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:34:00,138,46-55 Years,Male,Postgraduate & Above,2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 18:36:00,139, 18-25 Years,Male,Higher Secondary (10+2),2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:38:00,140,36-45 Years,Male,Postgraduate & Above,Above 10 Lakhs,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:40:00,141,Above 55 Years,Female,Higher Secondary (10+2),2 - 5  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:42:00,142,26-35 Years,Male,Undergraduate,Above 10 Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:44:00,143,Above 55 Years,Female,Higher Secondary (10+2),Above 10 Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:46:00,144, 18-25 Years,Female,Undergraduate,0 - 2  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:48:00,145,36-45 Years,Female,Below Secondary (Below 10th),0 - 2  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:50:00,146,Above 55 Years,Male,Higher Secondary (10+2),0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:52:00,147,Above 55 Years,Male,Undergraduate,0 - 2  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 18:54:00,148,26-35 Years,Male,Higher Secondary (10+2),0 - 2  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:56:00,149,26-35 Years,Male,Undergraduate,5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 18:58:00,150,36-45 Years,Female,Undergraduate,0 - 2  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 18:04:00,151,46-55 Years,Female,Higher Secondary (10+2),0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 18:06:00,152,Above 55 Years,Male,Higher Secondary (10+2),2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 18:08:00,153,46-55 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:10:00,154,Above 55 Years,Female,Undergraduate,2 - 5  Lakhs,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:12:00,155,36-45 Years,Female,Undergraduate,Above 10 Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:14:00,156,Above 55 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 18:16:00,157, 18-25 Years,Female,Postgraduate & Above,0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 18:18:00,158, 18-25 Years,Female,Undergraduate,0 - 2  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:20:00,159,Above 55 Years,Female,Higher Secondary (10+2),5 - 10  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:22:00,160,36-45 Years,Male,Higher Secondary (10+2),0 - 2  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:24:00,161,36-45 Years,Male,Postgraduate & Above,5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 18:26:00,162, 18-25 Years,Male,Undergraduate,Above 10 Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 18:28:00,163,36-45 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:30:00,164,46-55 Years,Male,Undergraduate,2 - 5  Lakhs,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 18:32:00,165,26-35 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:34:00,166,46-55 Years,Male,Higher Secondary (10+2),2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 18:36:00,167, 18-25 Years,Male,Higher Secondary (10+2),2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:38:00,168,36-45 Years,Male,Below Secondary (Below 10th),Above 10 Lakhs,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:40:00,169,Above 55 Years,Female,Higher Secondary (10+2),2 - 5  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:42:00,170,26-35 Years,Male,Undergraduate,Above 10 Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:44:00,171,Above 55 Years,Female,Below Secondary (Below 10th),Above 10 Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:46:00,172, 18-25 Years,Female,Undergraduate,0 - 2  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:48:00,173,36-45 Years,Female,Higher Secondary (10+2),0 - 2  Lakhs,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:50:00,174,Above 55 Years,Male,Higher Secondary (10+2),0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:52:00,175,Above 55 Years,Male,Undergraduate,0 - 2  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 18:54:00,176,26-35 Years,Male,Undergraduate,0 - 2  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:56:00,177,26-35 Years,Male,Undergraduate,5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 18:58:00,178,36-45 Years,Female,Undergraduate,0 - 2  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 18:36:00,179, 18-25 Years,Male,Higher Secondary (10+2),2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:28:00,180,36-45 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:50:00,181,Above 55 Years,Male,Postgraduate & Above,0 - 2  Lakhs,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:52:00,182,Above 55 Years,Male,Undergraduate,0 - 2  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
03/13/2025 18:54:00,183,26-35 Years,Male,Higher Secondary (10+2),0 - 2  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree
03/13/2025 18:56:00,184,26-35 Years,Male,Undergraduate,5 - 10  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree
03/13/2025 18:58:00,185,36-45 Years,Female,Undergraduate,0 - 2  Lakhs,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
03/13/2025 18:36:00,186, 18-25 Years,Male,Undergraduate,2 - 5  Lakhs,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral
03/13/2025 18:28:00,187,36-45 Years,Male,Higher Secondary (10+2),5 - 10  Lakhs,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree